Ticker,Company,sector_use,Year,ESG_Score,E_Score,S_Score,G_Score,ROA,PB,EV_EBITDA,log_mcap,QUICK_RATIO,ASSET_GROWTH,FNCL_LVRG,PE_RATIO,market_cap
AAL,American Airlines Group Inc,Airlines,2021,59.02910721,54.38515247,64.28601828,56.39811612,0.0136930870951556,-1.119191891406006,,22.8292115785692,0.7333,7.1507,34.6286,5.8534,8214868480.0
ALK,Alaska Air Group Inc,Airlines,2021,50.48254945,32.64819037,39.63992514,86.0630969,0.0199817887494941,1.7133319251027963,,22.610566247230157,0.9176,-0.6763,4.1239,10.5475,6601523200.0
ALLE,Allegion PLC,Building Products,2021,73.40375216,68.26787654,83.38290372,66.44580957,0.1331387316725344,20.14594993087085,,23.457299260435637,1.1331,-0.5995,3.8529,24.4624,15394855936.0
AME,AMETEK Inc,Electrical Equipment,2021,48.43311116,33.0261549,50.37985133,64.36906602,0.0940542754991074,6.2829827341021005,,24.49656163666672,0.7522,14.8753,1.7358,34.7739,43523272704.0
AOS,A O Smith Corp,Building Products,2021,54.00154295,59.02930495,46.2908336,58.07782524,0.1646913580246913,5.541074592236612,,23.04976973609789,1.1314,9.925,1.8028,29.695,10242071552.0
BA,Boeing Co,Aerospace & Defense,2021,82.88269624,82.05077087,92.7226164,70.15421641,0.0059811911140304,-10.871751265498634,,25.817417167400347,0.2318,-8.9289,115.1484,20.1204,163065397248.0
CARR,Carrier Global Corp,Building Products,2021,53.5433211,47.09077067,75.75190169,32.16846484,0.1498275539395235,7.401901423219493,,24.662773062312933,0.8133,4.3,3.9377,24.2071,51393269760.0
CAT,Caterpillar Inc,Machinery,2021,72.13560659,60.17132608,77.46507976,79.50521172,0.1229661364568615,13.30710880801969,,26.122192472619297,0.8838,5.7058,5.0642,18.5357,221168893952.0
CHRW,CH Robinson Worldwide Inc,Air Freight & Logistics,2021,40.57023703,29.01780786,49.34265757,43.02900534,0.0879004350004133,7.866892086483267,,23.500136833149057,1.2689,36.6205,3.1196,16.7406,16068663296.0
CMI,Cummins Inc,Machinery,2021,69.17276111,60.73349391,76.54718133,68.41025183,0.1251109701965757,6.846448918050095,,24.79294874673887,1.0131,4.8002,2.802,15.1761,58538397696.0
CPRT,Copart Inc,Commercial Services & Supplies,2021,34.57638698,2.1733537428635,46.34056077,37.86304369,0.1617297304480761,12.350956203019969,,24.51501831740029,3.6313,32.0347,1.3321,39.7286,44334026752.0
CSX,CSX Corp,Road & Rail,2021,52.10748631,72.251718,51.47209206,28.76042082,0.0811430174913478,4.577965848519694,,24.848689025568376,1.5513,1.8546,3.0207,25.0427,61893996544.0
CTAS,Cintas Corp,Commercial Services & Supplies,2021,67.80153117,63.67434277,70.82367772,66.82893135,0.1844515569643533,21.55364567783487,,25.125508578912036,0.7215,7.3917,2.2976,34.9489,81633746944.0
DAL,Delta Air Lines Inc,Airlines,2021,66.73066723,74.07612712,77.71756137,42.47551164,0.0458658387730191,9.960336027387893,,24.387345191093416,0.6545,0.6431,26.6473,7.9959,39020195840.0
DE,Deere & Co,Machinery,2021,72.17396593,84.40231733,78.16415021,49.64614708,0.0661572866194558,6.835463936507956,,25.56709688295926,0.4647,12.0161,5.0754,18.1098,126954790912.0
DOV,Dover Corp,Machinery,2021,58.5008641,68.53955761,44.02384646,65.43541057,0.2156120794681657,5.556298338770856,,23.880122332165215,0.7701,13.6751,2.5815,25.7761,23496617984.0
